lugar,implicado,fuente
IP Plan de Armas,Grupos Paramilitares,Enterrar y Callar Pp. 193 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
Vereda San José,Grupo Armado No Identificado,"Enterrar y Callar Pp. 106 EL TIEMPO, 18 de febrero de 1984, p. 3A"
Corregimiento El Cucero,Guerrilla-EPL ,"Enterrar y Callar Pp. 133 EL TIEMPO, 18 de marzo de 1984, p. 2A; LA PATRIA, 18 de marzo de 1984, p. 1"
Corregimiento Nuevo Antioquia-Vereda Rodoxalí,Grupos Paramilitares,"Enterrar y Callar Pp. 81 EL ESPECTADOR, 24 de marzo de 1984, p. 19"
 ,Grupos Paramilitares,"Enterrar y Callar Pp. 81 EL TIEMPO, 16 de abril de 1984, p. 1A y 8A"
Corregimiento Nuevo Antioquia,Guerrilla-EPL ,"Enterrar y Callar Pp. 82 EL TIEMPO, 4 de mayo de 1984, p. 2A"
Corregimiento Las Mercedes,Grupos Paramilitares,Enterrar y Callar Pp. 73 Colombia Nunca Más. Crimenes de Lesa Humanidad Zona 14 Pp. 368
Caseríos Puerto Pineda y Puerto Guevara,Grupos Paramilitares,Enterrar y Callar Pp. 102 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 185
Zona Rural,Guerrilla No Identificada,Enterrar y Callar Pp. 88 
Sector La Culebra,Grupo Armado No Identificado,Enterrar y Callar Pp. 71 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 302
Vereda El Tambo,Grupos Paramilitares,Enterrar y Callar Pp. 196 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 108
Vereda Betania,Grupo Armado No Identificado,"Enterrar y Callar Pp. 107 EL TIEMPO, 13 de julio de 1984, p. 3A"
Caserío Bruselas,Guerrilla-ELN ,"Enterrar y Callar Pp. 157 EL TIEMPO, 1 de septiembre de 1984, p. 1A y 13A"
Cabecera Municipal,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad. Zona No 7 Pp. 185
Vereda Los Guacos,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp. 40
Corregimiento Estados Unidos-Vereda El Cocuy,Fuerza Pública-Ejército Nacional,"Enterrar y Callar Pp. 122 EL TIEMPO, 2 de noviembre de 1984, p. 3A"
Vereda El Silencio,Grupos Paramilitares,Enterrar y Callar Pp. 190 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 249-250
IPD Llano de Palmas,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Pp. 106
IP Rionegro,Fuerza Pública-Ejército Nacional,"Enterrar y Callar Pp. 114 Aquellas muertes…, pp. 123-124"
Corregimiento Tucurá,Guerrilla-FARC ,"Enterrar y Callar Pp. 132 EL TIEMPO, 21 de marzo de 1985, p. 2A; EL HERALDO, 20 de marzo de 1985, p. 11A"
,Grupo Armado No Identificado,"Enterrar y Callar Pp. 90 EL HERALDO, 26 de marzo de 1985, p. 1 y 10A"
IPD Santa Rosa del Carare-Vereda La Corcovada,Grupos Paramilitares,Enterrar y Callar Pp. 190 Colombia Nunca Más Crímenes de Lesa Humanidad Zona 14 Pp. 250
Vereda Vijagual-Sitio El Aserrío,Fuerza Pública-Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 153
,Fuerza Pública-Policía Nacional,Enterrar y Callar Pp. 113 Procuraduría Delagada para las Fuerzas Militares
Vereda Santa Rosa,Guerrilla No Identificada,"Enterrar y Callar Pp. 38 LA PATRIA, 17 de mayo de 1985, p. 8B"
Vereda Mercadillo,Grupos Paramilitares,Enterrar y Callar Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas
Vereda Chanchó Bajo,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 287
ID San Rafael de Chucurí,Grupos Paramilitares,Enterrar y Callar Pp. 197 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano
,Grupos Paramilitares,"Enterrar y Callar Pp. 121 VANGUARDIA LIBERAL, 6 de agosto de 1985, p. 20"
,Guerrilla-FARC ,"Enterrar y Callar Pp. 115 REVISTA SEMANA, N° 172, 16 de septiembre de 1985"
Corregimiento Vitonco,Guerrilla-FARC ,"Enterrar y Callar Pp. 117 EL TIEMPO, 7 de octubre de 1985, p. 3A"
Vereda Tabor,Guerrilla-ELN ,"Enterrar y Callar Pp. 157 EL TIEMPO, 13 de octubre de 1985, p. 1A, 3A"
IPD Pitayo,Guerrilla Conjunta-Quintin Lame y M-19,"Enterrar y Callar Pp. 119 EL TIEMPO, 21 de octubre de 1985, p. 1A, 8A"
Corregimiento Currulao,Guerrilla No Identificada,"Enterrar y Callar Pp. 82 EL TIEMPO, 21 de octubre de 1985, p. 1A, 8A"
Cabecera Municipal,Guerrilla-FARC ,"Enterrar y Callar Pp. 110 EL TIEMPO, 3 de noviembre de 1985, p. 3A"
Corregimiento Currulao,Grupos Paramilitares,"Enterrar y Callar Pp. 82 EL TIEMPO, 1 de diciembre de 1985, p. 8A"
"IPD Tacueyó-Veredas La Estrella, Chimicueto y Chamizal",Guerrilla-Ricardo Franco ,"Enterrar y Callar Pp. 120 EL TIEMPO, 13 de diciembre de 1985, p. 1A, 8B
EL TIEMPO, 14 de diciembre de 1985, p. 1A, 3A
EL TIEMPO, 17 de diciembre de 1985, p. 3A
EL TIEMPO, 18 de diciembre de 1985, p. 1A, 14A
EL TIEMPO, 19 de diciembre de 1985, p. 3A
EL TIEMPO, 21 de diciembre de 1985, p. 1A, 8A
EL TIEMPO, 23 de diciembre de 1985, p. 9C
EL TIEMPO, 24 de diciembre de 1985, p. 7A
EL TIEMPO, 28 de diciembre de 1985, p. 3A
EL TIEMPO, 29 de diciembre de 1985, p. 6A"
Vereda Arrayanes,Guerrilla-FARC ,"Enterrar y Callar Pp. 112 EL TIEMPO, 24 de diciembre de 1985, p. 7A; VANGUARDIA LIBERAL, 24 de diciembre de 1985, p. 10"
,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 146 Terrorismo de Estado Pp. 348
Vereda Louso,Grupos Paramilitares,Enterrar y Callar Pp. 125 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Cesar Pp. 86
Corregimiento Pueblo Bello-Vereda Nuevo Colón,Guerrilla-FARC ,"Enterrar y Callar Pp. 126 EL TIEMPO, 18 de enero de 1986, p. 2A"
Corregimiento La Sierra,Guerrilla-FARC ,"Enterrar y Callar Pp. 71 EL TIEMPO, 3 de febrero de 1986, p. 3A; EL COLOMBIANO, 4 de febrero de 1986, p. 2"
IPD Campo Capote,Grupos Paramilitares,Enterrar y Callar Pp. 194 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Magdalena Medio Santandereano Pp. 209
Corregimiento Fraguas,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 78 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 14 Pp. 418
Corregimiento El Dos-Vereda La Playa,Grupos Paramilitares,"Enterrar y Callar Pp. 82 EL TIEMPO, 27 de marzo de 1986, p. 3A"
Sector La Chorrera,Guerrilla-Quintin Lame ,"Enterrar y Callar Pp. 117 EL TIEMPO, 11 de abril de 1986, p. 1A, 3A
EL TIEMPO, 12 de abril de 1986, p. 2A"
Corregimiento Currulao,Grupos Paramilitares,Enterrar y Callar Pp. 83 El Tiempo 14/04/1986:6A
Corregimiento Callejas,Guerrilla-EPL ,Enterrar y Callar Pp. 133 El Tiempo 15/04/1986:2A
,Guerrilla-FARC ,Enterrar y Callar Pp. 27 El Tiempo 25/04/1986:1A
Vereda Cachiricito,Grupos Paramilitares,Enterrar y Callar Pp. 192 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Provincias Santandereanas Pp. 93
