lugar,implicado,fuente
IP Zambrano,Grupos Paramilitares,Noche y Niebla # 12 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 104
Corregimiento San Félix-Veredas La Cimitarra y Caserio San Pablo,Guerrilla-FARC ,Noche y Niebla # 12 Pp. 106 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
,Guerrilla-FARC ,Noche y Niebla # 12 Pp. 106 Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida Pp. 57-58
Caserío Astilleros,Grupos Paramilitares,Noche y Niebla # 12 Pp. 107 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 267 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida 
Corregimiento Versalles y Pacheli,Grupos Paramilitares,Noche y Niebla # 12 Pp. 107 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
,Guerrilla-FARC ,Noche y Niebla # 12 Pp. 108 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Sitio Puente Socuavo,Grupos Paramilitares,"Noche y Niebla # 12 Pp. 110 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 267 Audiencia de Imputación Isaias Montes hernández, alias ""Junior"" ó ""Mauricio"""
Corregimiento El Jordán-Veredas La Holanda y Santa Isabel,Grupos Paramilitares,Noche y Niebla # 12 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida 1999
IPD La Laguna-Vereda Carrizal,Guerrilla Conjunta-FARC y ELN,Noche y Niebla # 12 Pp. 110 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 119
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 12 Pp. 114 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida 
Vereda El Playon,Grupos Paramilitares,Noche y Niebla # 12 Pp. 113-114 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Corregimientos Tierradentro (Montelibano) y Juan José-Caserío Puerto López (Puerto Libertador) ,Guerrilla-FARC ,Noche y Niebla # 12 Pp. 115
Corregimiento Aguas Blancas,Grupos Paramilitares,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 86
Corregimientos Varela y Orihueca,Grupos Paramilitares,Noche y Niebla # 12 Pp. 116 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Vereda La Promisión,Grupos Paramilitares,Noche y Niebla # 12 Pp. 120 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Corregimiento Pueblo Bello,Guerrilla-FARC ,Noche y Niebla # 12 Pp. 120  
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 12 Pp. 124 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Vereda Balsillas,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 143
Vereda Cerro 26,Grupos Paramilitares,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 96
"Corregimientos Patillal, Rio Seco y La Mina",Grupos Paramilitares,Noche y Niebla # 13 Pp. 46 Unidad de Justicia y Paz Masacres en Cesar Defensoría del Pueblo. Masacres ocurridas en colombia Luz para la Vida Pp. 86
IP Toquilla,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 46 Defensoría del Pueblo. Masacres ocurridas en Colombia Luz para la Vida Pp. 68
Vereda El Salame,Grupos Paramilitares,Noche y Niebla # 13 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 134
Corregimiento Orihueca,Grupos Paramilitares,Noche y Niebla # 13 Pp. 47-48 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003  Unidad de Justicia y Paz. Masacres en el Magdalena Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Corregimiento Agua Clara y Caseríos La Floresta y Puerto Nuevo,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 49 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 120-121  Audiencia de Imputación Jorge Iván Laverde Zapata, alias ""El Iguano"", 5 de Diciembre de 2008"
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 49 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 45
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 55 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida
Corregimiento Saiza,Grupos Paramilitares,"Noche y Niebla # 13 Versión Libre Ever Veloza, alias ""HH"". Medellin, 30 de Octubre de 2007 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 93-94"
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 56 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 76
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 58 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 86
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 58-59 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 121
Vereda Remolinos y Sitio Puente de Urama,Grupos Paramilitares,Noche y Niebla # 13 Pp. 59 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Pp. 46
Vereda Hato Viejo,Guerrilla-FARC ,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida. Pp. 143
Zona Rural,Grupos Paramilitares,Noche y Niebla # 13 Pp. 62 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 125
Caserío Guatemala,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 62 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 81
Veredas El Tapón y El Mango,Grupos Paramilitares,Noche y Niebla # 13 Pp. 65 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 46
Vereda El Centro,Grupos Paramilitares,Noche y Niebla # 13 Pp. 66 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 136
Corregimiento Monterrey,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 141
Corregimiento Nueva Esperanza,Grupos Paramilitares,Noche y Niebla # 13 Pp. 67 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en colombia 1999 Luz para la Vida Pp. 87
IPD El Palmar-Vereda La Virgen,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 68
Vereda El Palmar,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 150
Vía Puerto Arturo-Retiro,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 107
Corregimiento La Gabarra-Veredas Los Cuervos y Barranca,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 71 Versión Libre Salvatore Mancuso. Medellin, 16 de Enero de 2007 Defensoría del Pueblo. Masacres ocurridas en Colombia Luz para la Vida Pp. 122"
Vereda Clavellino,Grupos Paramilitares,Noche y Niebla # 13 Pp. 77
Cabecera Municipal,Grupos Paramilitares,"Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Pp. 122 Luz para la Vida Audiencia de Imputación Jorge Iván Laverde Zapata, alias ""El Iguano"", 5 de Diciembre de 2008"
Cabecera Municipal-Vereda Doña Juana,Grupos Paramilitares,Noche y Niebla # 13 Pp. 79 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 270-271 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 71-72
Corregimiento San Luis-Vereda El Piñal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 271 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 79 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 133
Resguardo Indígena Agua Caliente,Grupos Paramilitares,Noche y Niebla # 13 Pp. 81 Defensoría del Pueblo. Masacres ocurridas en colombia 1999 Luz para la Vida Pp. 90
Corregimiento Santo Domingo y Cabecera Municipal ,Grupos Paramilitares,Noche y Niebla # 13 Pp. 80 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 65 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar
Zona Rural,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 80 Defensoría del Colombia. Masacres ocurridas en Colombia 1999 Luz para la Vida. Pp. 144
Corregimiento San Antonio de Prado-Vereda Laverde,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 84 Defensoría del Pueblo. Masacres ocurridas en 199. Luz para la Vida Pp. 47
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 85 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 271 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Pp. 47
Cabecera Municipal-Veredas Capaca y Campoalegre,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 88 Versión Libre de Salvatore Mancuso el 16 de Enero de 2007 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 271-272 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 65-66 Versión Libre Uber Enrique Banquez, alias ""Juancho Dique"". Barranquilla, 17 de Diciembre de 2007"
Cabecera Municipal-Vereda Aguas Calientes,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 89 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 75
Corregimiento San José de la Playa,Grupos Paramilitares,Noche y Niebla # 13 Pp. 89-90 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 66
Corregimiento San Roque,Grupos Paramilitares,Noche y Niebla # 13 Pp. 90 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en colombia 1999 Luz para la Vida Pp. 87
Vereda Diego Hernández y Caserio Palestina,Grupos Paramilitares,Noche y Niebla # 13 Pp. 91 Unidad de Justicia y Paz Masacres en Cesar Defensoría del Pueblo. Masacres ocurridas en colombia Luz para la Vida Pp. 88
Corregimiento San Adolfo-Vereda San José de Riecito,Guerrilla-FARC ,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 108
Corregimientos La Gabarra-Vereda Caño Lapa y Campo Dos & Caserío Petrolea,Grupos Paramilitares,Noche y Niebla # 13 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 123
IPD El Palmar,Grupos Paramilitares,"Versión Libre Elkin Casarrubia, alias ""El Cura"", 24 y 25 de febrero de 2011 ww.verdadabierta.com"
Corregimiento Pita Abajo y Caserío Pasacorriendo,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 96 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 141 Versión Libre Uber Enrique Banquez, alias ""Juancho Dique"". Barranquilla, 17 de Diciembre de 2007"
Corregimiento San Roque,Grupos Paramilitares,"Unidad de Justicia y Paz. Masacres en el Cesar Audiencia de imputación Jhon Jairo Esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008"
IPD Chorreras,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 107 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 151 Audiencia de Imputación Rover Enrique Oviedo Yanes, 12 de Diciembre de 2009. Versión Libre de Elkin casarrubia, lias ""El Cura"""
Vereda El Castillo,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 116 Defensoría del Pueblo. Masacres ocurridas en Colombia Luz para la Vida Pp. 151
Cabecera Municipal,Grupos Paramilitares,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 104
Vereda San Pedro,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 125
Corregimiento San Pedro-Vereda La Esmeralda,Guerrilla-ELN ,Noche y Niebla # 13 Pp. 122 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 144
IPD Balsillas,Grupos Paramilitares,Noche y Niebla # 13 Pp. 125 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 75
Corregimiento Batata-Vereda Murmullo,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 126 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida. Pp. 94
Corregimiento Buenos Aires,Grupos Paramilitares,Noche y Niebla # 13 Pp. 128 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 151
Vereda Quebrada Seca,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 131-132 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Audiencia de Imputación Jorge Iván Laverde Zapata, alias ""El Iguano"", 5 de Diciembre de 2008"
Veredas Antadó y Palmichales,Grupos Paramilitares,Noche y Niebla # 13 Pp. 135 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 274  Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida Pp. 48
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 135 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 274 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 114 Versión Libre Benjamin Parra Cárdenas
Sitio El Cementerio-El Carmen de Bolivar y Sitio Caño Aguas Negras- Guamal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 136 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 66
Cabecera Municipal,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 22
Corregimiento Llerasca-Vereda El Carrizal,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 137 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 274 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 89 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, 7 de Noviembre de 2008"
Vereda Meléndez,Grupos Paramilitares,Noche y Niebla # 13 Pp. 138 Unidad de Justicia y Paz. Masacres en el Cesar
Corregimiento San Rafael-Vereda La Mina,Grupos Paramilitares,Noche y Niebla # 13 Pp. 138 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 274 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 151
IPD Las Palmas,Grupos Paramilitares,"Noche y Niebla # 13 Versión Libre Salvatore Mancuso. Medellin, 16 de Enero de 2007 Defensoría del Pueblo. Masacres ocurridas en Colombia Luz para la Vida Pp. 67"
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 13 Pp. 143 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 137
"IP Malabrigo-Veredas San Basilio, San Juan y El Morrán",Grupos Paramilitares,Noche y Niebla # 13 Pp. 143 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 49
Corregimiento Quebrada del Medio,Guerrilla-ERP ,Noche y Niebla # 13 Pp. 143 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 66-67
IP Tres Matas,Guerrilla-FARC ,Noche y Niebla # 13 Pp. 144
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 14 Pp. 60 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar
Corregimiento Belén de Bajirá,Guerrilla-FARC ,Noche y Niebla # 14 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 49
Corregimiento Pueblito,Grupos Paramilitares,Noche y Niebla # 14 Pp. 68 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 275 Defensoría del Pueblo. Masacres ocurridas en 1999. Luz para la Vida Pp. 49
Corregimiento Estados Unidos,Grupos Paramilitares,"Noche y Niebla # 14 Pp. 69 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en colombia 1999 Luz para la Vida Pp. 89 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008"
Cabecera Municipal,Guerrilla-FARC ,Noche y Niebla # 14 Pp. 72 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999. Luz para la Vida Pp. 82
Zona Rural,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 146
Vereda Piedras Blancas,Guerrilla-FARC ,Noche y Niebla # 14 Pp. 74 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 50
Cabecera Municipal-Vereda La Niña,Grupos Paramilitares,Noche y Niebla # 14 Pp. 74 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 75
Sitio Roncador de Simiti,Grupos Paramilitares,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 148
Corregimiento Bajo Grande,Grupos Paramilitares,Noche y Niebla # 14 Pp. 78 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia Defensoría del Pueblo. Luz para la Vida. Pp. 67
Vereda Buenavista,Guerrilla-ELN ,Noche y Niebla # 14 Pp. 78-79
Vereda Puerto Triana,Guerrilla-ELN ,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 50
Corregimientos Monterrey y El Paraiso-Veredas La Humareda Alta y El Paraiso,Grupos Paramilitares,Noche y Niebla # 14 Pp. 90 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia
Caserío El Playon,Grupos Paramilitares,Noche y Niebla # 14 Pp. 95 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 276-277 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 144
Zona Rural,Guerrilla-FARC ,Noche y Niebla # 14 Pp. 98
"IP El Placer y Cabecera Municipal (Valle del Guamuez) & Cabecera Municipal La Dorada y Veredas Las Brisas, El Empalme y El Vergel (San Miguel)",Grupos Paramilitares,Noche y Niebla # 14 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia
Corregimientos La Mina y Atanquez,Grupos Paramilitares,"Noche y Niebla # 14  Pp. 102 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 89 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008"
Vereda El Guamal,Grupos Paramilitares,Noche y Niebla # 14 Pp. 107 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 277 Defensoría del Pueblo. Masacres ocurridas en 1999. Luz para la Vida Pp. 51
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 14 Pp. 111 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999
Veredas Pantanillo y Chagualal,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 51
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 14 Pp. 114
Corregimiento Evitar,Grupos Paramilitares,Noche y Niebla # 14 Pp. 116-117 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia. Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 67
IPD El Chocó & Corregimiento La Esperanza,Grupos Paramilitares,Noche y Niebla # 14 Pp. 120 Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida PP. 52
Corregimiento Florencia,Guerrilla-FARC ,Noche y Niebla # 14 Pp. 121 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 72
Vereda San José,Grupos Paramilitares,Noche y Niebla # 14 Pp. 124 efensoría del Pueblo. Masacres ocurridas en Colombia 1999 Pp. 52
Cabecera Municipal,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 94
Veredas El Liberal y Las Animas,Grupos Paramilitares,Noche y Niebla # 14 Pp. 134 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 52
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 14 Pp. 137 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 279 Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida Pp. 52
Caserío La Mesa,Grupos Paramilitares,Noche y Niebla # 14 Pp. 138-139 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida PP. 89
Sitio Puente La Honda,Grupos Paramilitares,"Noche y Niebla # 14 Pp. 141 Versión Libre John Jairo esquivel Cuadrado, alias ""El Tigre"". Barranquilla, 10 de Diciembre de 2007 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 89"
IP Platanares y La Esmeralda & Corregimientos Angosturas y Buenos Aires,Grupos Paramilitares,Noche y Niebla # 14 Pp. 142 
"IPD El Chocó & Corregimiento La Esperanza-Veredas la Esperanza, Pio XII, La Hondita y Aguadas",Grupos Paramilitares,Noche y Niebla # 14 Pp. 143 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 279 Defensoría del Pueblo. Masacres ocurridas en 1999. Luz para la Vida. Pp. 52 Personería Municipal de San Carlos
"Veredas San Miguel y El Penol (San Andrés) & Veredas Las Brisas, Miraflores y El Limón (Toledo)",Grupos Paramilitares,Noche y Niebla # 14 Pp. 146 Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida Pp. 53
"Veredas Remanso, Santa Ana, San Bartolo, Piedad y Ángel",Grupos Paramilitares,Noche y Niebla # 14 Pp. 148 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 279 Defensoría del Pueblo. Masacres ocurridas en 1999 Luz para la Vida Pp. 53-54
Corregimiento Bellavista,Grupos Paramilitares,Noche y Niebla # 14 Pp. 151
IP Alta Flor,Grupos Paramilitares,Noche y Niebla # 14 Pp. 151 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 280 Defensoría del Pueblo. Masacres ocurridas en colombia 1999 Luz para la Vida Pp. 153
Cabecera Municipal-Vereda La Muleta,Grupo Armado No Identificado,Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 72
"Veredas Altos del Café, Platanillo, San Nicolás y Brazuelo",Grupos Paramilitares,Noche y Niebla # 13 Pp. 110-111 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Arenales y El Charco,Grupos Paramilitares,Noche y Niebla # 15 Pp. 6 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda San Ignacio,Grupos Paramilitares,Noche y Niebla # 15 Pp. 13 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 285
Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 15 Pp. 12 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 285
Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 15 Pp. 20 
Zona Rural,Grupo Armado No Identificado,Noche y Niebla # 15 Pp. 23  
"Veredas La Quiebra, El Llano y La Rivera- Corregimiento Ochalí ",Grupos Paramilitares,Noche y Niebla # 15 Pp. 23 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 286
Corregimiento Estados Unidos,Grupos Paramilitares,"Noche y Niebla # 15 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz Unidad de Justicia y Paz. Masacres en el Cesar Audiencia de Imputación Jhon Jairo esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008"
Via a Corregimiento El Salado,Grupos Paramilitares,Noche y Niebla # 15 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Corregimiento Filo Gringo,Grupos Paramilitares,"Noche y Niebla # 15 Pp. 28 Policía Nacional. Procesado por Observatorio de Derechos Humanos y DIH Versión Libre Salvatore Mancuso. Medellin, 16 de Enero de 2007 Versión Libre Isaias Montes hernández, alias ""Junior"" ó ""Mauricio"""
Corregimiento San Pablo (Veredas Remolinos y Salamina) e IPD El Caney-Veredas Remolinos y Salamina,Grupos Paramilitares,Noche y Niebla # 15 Pp. 28 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003
Vereda Las Mirlas,Grupos Paramilitares,Noche y Niebla # 15 Pp. 29 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 286
Corregimiento Piedras de Moler,Guerrilla-FARC ,Noche y Niebla # 15 Pp. 29-30
Corregimiento Sabaletas-Vereda San Antonio,Fuerza Pública-Grupos Paramilitares,Noche y Niebla # 15 Pp. 30 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 286-287
